trade_id,cluster_id,entry_time,exit_time,direction,distance,entry_mode,static_pips,aee_pips,static_R,aee_R,static_reason,aee_reason
T0001,LONG_1.5_001,2024-01-15T08:02:00.000000000Z,2024-01-15T08:02:00.000000000Z,LONG,1.5,harvester,1.5,-1.5,1.0,-1.0,TP_HIT,PANIC
T0002,LONG_1.5_001,2024-01-15T08:05:00.000000000Z,2024-01-15T08:05:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0003,LONG_1.5_001,2024-01-15T08:08:00.000000000Z,2024-01-15T08:08:00.000000000Z,LONG,1.5,harvester,1.5,-1.5,1.0,-1.0,TP_HIT,PANIC
T0004,LONG_1.5_001,2024-01-15T08:11:00.000000000Z,2024-01-15T08:11:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0005,LONG_1.5_001,2024-01-15T08:14:00.000000000Z,2024-01-15T08:14:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0006,LONG_1.5_001,2024-01-15T08:17:00.000000000Z,2024-01-15T08:17:00.000000000Z,LONG,1.5,harvester,1.5,-1.5,1.0,-1.0,TP_HIT,PANIC
T0007,LONG_1.5_001,2024-01-15T08:20:00.000000000Z,2024-01-15T08:20:00.000000000Z,LONG,1.5,harvester,1.5,-1.5,1.0,-1.0,TP_HIT,PANIC
T0008,LONG_1.5_001,2024-01-15T08:23:00.000000000Z,2024-01-15T08:23:00.000000000Z,LONG,1.5,harvester,1.5,-1.5,1.0,-1.0,TP_HIT,PANIC
T0009,LONG_1.5_002,2024-01-15T08:32:00.000000000Z,2024-01-15T08:32:00.000000000Z,LONG,1.5,harvester,1.5,-1.5,1.0,-1.0,TP_HIT,PANIC
T0010,LONG_1.5_002,2024-01-15T08:35:00.000000000Z,2024-01-15T08:35:00.000000000Z,LONG,1.5,harvester,1.5,-1.5,1.0,-1.0,TP_HIT,PANIC
T0011,LONG_1.5_002,2024-01-15T08:38:00.000000000Z,2024-01-15T08:38:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0012,LONG_1.5_002,2024-01-15T08:41:00.000000000Z,2024-01-15T08:41:00.000000000Z,LONG,1.5,harvester,1.5,-1.5,1.0,-1.0,TP_HIT,PANIC
T0013,LONG_1.5_002,2024-01-15T08:44:00.000000000Z,2024-01-15T08:44:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0014,LONG_1.5_002,2024-01-15T08:47:00.000000000Z,2024-01-15T08:47:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0015,LONG_1.5_003,2024-01-15T09:02:00.000000000Z,2024-01-15T09:02:00.000000000Z,LONG,1.5,harvester,1.5,0.10000000000065512,1.0,0.06666666666710341,TP_HIT,HARVEST
T0016,LONG_1.5_003,2024-01-15T09:05:00.000000000Z,2024-01-15T09:05:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0017,LONG_1.5_003,2024-01-15T09:08:00.000000000Z,2024-01-15T09:08:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0018,LONG_1.5_003,2024-01-15T09:11:00.000000000Z,2024-01-15T09:11:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0019,LONG_1.5_003,2024-01-15T09:14:00.000000000Z,2024-01-15T09:14:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0020,LONG_1.5_003,2024-01-15T09:17:00.000000000Z,2024-01-15T09:17:00.000000000Z,LONG,1.5,harvester,1.5,-1.5,1.0,-1.0,TP_HIT,PANIC
T0021,LONG_1.5_003,2024-01-15T09:20:00.000000000Z,2024-01-15T09:20:00.000000000Z,LONG,1.5,harvester,1.5,-1.5,1.0,-1.0,TP_HIT,PANIC
T0022,LONG_1.5_003,2024-01-15T09:23:00.000000000Z,2024-01-15T09:23:00.000000000Z,LONG,1.5,harvester,1.5,-1.5,1.0,-1.0,TP_HIT,PANIC
T0023,LONG_1.5_003,2024-01-15T09:26:00.000000000Z,2024-01-15T09:26:00.000000000Z,LONG,1.5,harvester,1.5,-1.5,1.0,-1.0,TP_HIT,PANIC
T0024,LONG_1.5_003,2024-01-15T09:29:00.000000000Z,2024-01-15T09:29:00.000000000Z,LONG,1.5,harvester,1.5,-1.5,1.0,-1.0,TP_HIT,PANIC
T0025,LONG_1.5_004,2024-01-15T09:37:00.000000000Z,2024-01-15T09:37:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0026,LONG_1.5_004,2024-01-15T09:40:00.000000000Z,2024-01-15T09:40:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0027,LONG_1.5_004,2024-01-15T09:43:00.000000000Z,2024-01-15T09:43:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0028,LONG_1.5_004,2024-01-15T09:46:00.000000000Z,2024-01-15T09:46:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0029,LONG_1.5_004,2024-01-15T09:49:00.000000000Z,2024-01-15T09:49:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0030,LONG_1.5_004,2024-01-15T09:52:00.000000000Z,2024-01-15T09:52:00.000000000Z,LONG,1.5,harvester,1.5,-1.5,1.0,-1.0,TP_HIT,PANIC
T0031,LONG_1.5_004,2024-01-15T09:55:00.000000000Z,2024-01-15T09:55:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0032,LONG_1.5_004,2024-01-15T09:58:00.000000000Z,2024-01-15T09:58:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0033,LONG_1.5_004,2024-01-15T10:01:00.000000000Z,2024-01-15T10:01:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0034,LONG_1.5_004,2024-01-15T10:04:00.000000000Z,2024-01-15T10:04:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0035,LONG_1.5_004,2024-01-15T10:07:00.000000000Z,2024-01-15T10:07:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0036,LONG_1.5_004,2024-01-15T10:10:00.000000000Z,2024-01-15T10:10:00.000000000Z,LONG,1.5,harvester,-1.5,6.200000000000649,-1.0,4.133333333333766,SL_HIT,HOLD
T0037,LONG_1.5_004,2024-01-15T10:13:00.000000000Z,2024-01-15T10:13:00.000000000Z,LONG,1.5,harvester,-1.5,4.599999999999049,-1.0,3.0666666666660327,SL_HIT,HOLD
T0038,LONG_1.5_004,2024-01-15T10:16:00.000000000Z,2024-01-15T10:16:00.000000000Z,LONG,1.5,harvester,-1.5,7.600000000000939,-1.0,5.066666666667293,SL_HIT,HOLD
T0039,LONG_1.5_004,2024-01-15T10:19:00.000000000Z,2024-01-15T10:19:00.000000000Z,LONG,1.5,harvester,1.5,10.40000000000152,1.0,6.933333333334346,TP_HIT,HOLD
T0040,LONG_1.5_004,2024-01-15T10:22:00.000000000Z,2024-01-15T10:22:00.000000000Z,LONG,1.5,harvester,1.5,11.200000000000099,1.0,7.4666666666667325,TP_HIT,HOLD
T0041,LONG_1.5_004,2024-01-15T10:25:00.000000000Z,2024-01-15T10:25:00.000000000Z,LONG,1.5,harvester,1.5,14.100000000001334,1.0,9.400000000000889,TP_HIT,HOLD
T0042,LONG_1.5_004,2024-01-15T10:28:00.000000000Z,2024-01-15T10:28:00.000000000Z,LONG,1.5,harvester,1.5,0.10000000000065512,1.0,0.06666666666710341,TP_HIT,HARVEST
T0043,LONG_1.5_004,2024-01-15T10:31:00.000000000Z,2024-01-15T10:31:00.000000000Z,LONG,1.5,harvester,-1.5,14.799999999999258,-1.0,9.866666666666172,SL_HIT,HOLD
T0044,LONG_1.5_004,2024-01-15T10:34:00.000000000Z,2024-01-15T10:34:00.000000000Z,LONG,1.5,harvester,1.5,18.599999999999728,1.0,12.39999999999982,TP_HIT,HOLD
T0045,LONG_1.5_004,2024-01-15T10:37:00.000000000Z,2024-01-15T10:37:00.000000000Z,LONG,1.5,harvester,1.5,19.799999999998708,1.0,13.199999999999138,TP_HIT,HOLD
T0046,LONG_1.5_004,2024-01-15T10:40:00.000000000Z,2024-01-15T10:40:00.000000000Z,LONG,1.5,harvester,1.5,17.700000000000493,1.0,11.80000000000033,TP_HIT,HOLD
T0047,LONG_1.5_004,2024-01-15T10:43:00.000000000Z,2024-01-15T10:43:00.000000000Z,LONG,1.5,harvester,1.5,16.599999999999948,1.0,11.066666666666633,TP_HIT,HOLD
T0048,LONG_1.5_004,2024-01-15T10:46:00.000000000Z,2024-01-15T10:46:00.000000000Z,LONG,1.5,harvester,1.5,18.20000000000155,1.0,12.133333333334365,TP_HIT,HOLD
T0049,LONG_1.5_004,2024-01-15T10:49:00.000000000Z,2024-01-15T10:49:00.000000000Z,LONG,1.5,harvester,1.5,14.299999999998203,1.0,9.533333333332136,TP_HIT,HOLD
T0050,LONG_1.5_004,2024-01-15T10:52:00.000000000Z,2024-01-15T10:52:00.000000000Z,LONG,1.5,harvester,1.5,11.000000000001009,1.0,7.333333333334006,TP_HIT,HOLD
T0051,LONG_1.5_004,2024-01-15T10:55:00.000000000Z,2024-01-15T10:55:00.000000000Z,LONG,1.5,harvester,1.5,10.499999999999954,1.0,6.999999999999969,TP_HIT,HOLD
T0052,LONG_1.5_004,2024-01-15T10:58:00.000000000Z,2024-01-15T10:58:00.000000000Z,LONG,1.5,harvester,1.5,6.800000000000139,1.0,4.5333333333334265,TP_HIT,HOLD
T0053,LONG_1.5_004,2024-01-15T11:01:00.000000000Z,2024-01-15T11:01:00.000000000Z,LONG,1.5,harvester,1.5,16.40000000000086,1.0,10.933333333333906,TP_HIT,HOLD
T0054,LONG_1.5_004,2024-01-15T11:04:00.000000000Z,2024-01-15T11:04:00.000000000Z,LONG,1.5,harvester,1.5,12.399999999999078,1.0,8.266666666666053,TP_HIT,HOLD
T0055,LONG_1.5_004,2024-01-15T11:07:00.000000000Z,2024-01-15T11:07:00.000000000Z,LONG,1.5,harvester,1.5,12.599999999998168,1.0,8.399999999998778,TP_HIT,HOLD
T0056,LONG_1.5_004,2024-01-15T11:10:00.000000000Z,2024-01-15T11:10:00.000000000Z,LONG,1.5,harvester,1.5,14.600000000000168,1.0,9.733333333333446,TP_HIT,HOLD
T0057,LONG_1.5_004,2024-01-15T11:13:00.000000000Z,2024-01-15T11:13:00.000000000Z,LONG,1.5,harvester,1.5,14.599999999997948,1.0,9.733333333331965,TP_HIT,HOLD
T0058,LONG_1.5_004,2024-01-15T11:16:00.000000000Z,2024-01-15T11:16:00.000000000Z,LONG,1.5,harvester,1.5,12.600000000000389,1.0,8.40000000000026,TP_HIT,HOLD
T0059,LONG_1.5_004,2024-01-15T11:19:00.000000000Z,2024-01-15T11:19:00.000000000Z,LONG,1.5,harvester,1.5,12.499999999999734,1.0,8.333333333333156,TP_HIT,HOLD
T0060,LONG_1.5_004,2024-01-15T11:22:00.000000000Z,2024-01-15T11:22:00.000000000Z,LONG,1.5,harvester,1.5,10.40000000000152,1.0,6.933333333334346,TP_HIT,HOLD
T0061,LONG_1.5_004,2024-01-15T11:25:00.000000000Z,2024-01-15T11:25:00.000000000Z,LONG,1.5,harvester,1.5,6.399999999999739,1.0,4.2666666666664925,TP_HIT,DECAY_EXIT
T0062,LONG_1.5_004,2024-01-15T11:28:00.000000000Z,2024-01-15T11:28:00.000000000Z,LONG,1.5,harvester,1.5,6.099999999999994,1.0,4.066666666666663,TP_HIT,DECAY_EXIT
T0063,LONG_1.5_004,2024-01-15T11:31:00.000000000Z,2024-01-15T11:31:00.000000000Z,LONG,1.5,harvester,-1.5,4.20000000000087,-1.0,2.80000000000058,SL_HIT,DECAY_EXIT
T0064,LONG_1.5_004,2024-01-15T11:34:00.000000000Z,2024-01-15T11:34:00.000000000Z,LONG,1.5,harvester,1.5,6.699999999999484,1.0,4.466666666666323,TP_HIT,DECAY_EXIT
T0065,LONG_1.5_004,2024-01-15T11:37:00.000000000Z,2024-01-15T11:37:00.000000000Z,LONG,1.5,harvester,1.5,3.9999999999995595,1.0,2.666666666666373,TP_HIT,DECAY_EXIT
T0066,LONG_1.5_004,2024-01-15T11:40:00.000000000Z,2024-01-15T11:40:00.000000000Z,LONG,1.5,harvester,-1.5,1.900000000001345,-1.0,1.2666666666675634,SL_HIT,DECAY_EXIT
T0067,LONG_1.5_004,2024-01-15T11:43:00.000000000Z,2024-01-15T11:43:00.000000000Z,LONG,1.5,harvester,-1.5,4.20000000000087,-1.0,2.80000000000058,SL_HIT,DECAY_EXIT
T0068,LONG_1.5_004,2024-01-15T11:46:00.000000000Z,2024-01-15T11:46:00.000000000Z,LONG,1.5,harvester,1.5,7.399999999999629,1.0,4.933333333333086,TP_HIT,DECAY_EXIT
T0069,LONG_1.5_004,2024-01-15T11:49:00.000000000Z,2024-01-15T11:49:00.000000000Z,LONG,1.5,harvester,-1.5,6.200000000000649,-1.0,4.133333333333766,SL_HIT,DECAY_EXIT
T0070,LONG_1.5_004,2024-01-15T11:52:00.000000000Z,2024-01-15T11:52:00.000000000Z,LONG,1.5,harvester,1.5,6.800000000000139,1.0,4.5333333333334265,TP_HIT,DECAY_EXIT
T0071,LONG_1.5_004,2024-01-15T11:55:00.000000000Z,2024-01-15T11:55:00.000000000Z,LONG,1.5,harvester,1.5,3.5000000000007248,1.0,2.3333333333338167,TP_HIT,DECAY_EXIT
T0072,LONG_1.5_004,2024-01-15T11:58:00.000000000Z,2024-01-15T11:58:00.000000000Z,LONG,1.5,harvester,-1.5,-0.8000000000008001,-1.0,-0.5333333333338667,SL_HIT,DECAY_EXIT
T0073,LONG_1.5_004,2024-01-15T12:01:00.000000000Z,2024-01-15T12:01:00.000000000Z,LONG,1.5,harvester,1.5,2.80000000000058,1.0,1.8666666666670533,TP_HIT,DECAY_EXIT
T0074,LONG_1.5_004,2024-01-15T12:04:00.000000000Z,2024-01-15T12:04:00.000000000Z,LONG,1.5,harvester,1.5,0.20000000000131024,1.0,0.13333333333420683,TP_HIT,HARVEST
T0075,LONG_1.5_004,2024-01-15T12:07:00.000000000Z,2024-01-15T12:07:00.000000000Z,LONG,1.5,harvester,1.5,-1.5,1.0,-1.0,TP_HIT,PANIC
T0076,LONG_1.5_004,2024-01-15T12:10:00.000000000Z,2024-01-15T12:10:00.000000000Z,LONG,1.5,harvester,1.5,-1.5,1.0,-1.0,TP_HIT,PANIC
T0077,LONG_1.5_004,2024-01-15T12:13:00.000000000Z,2024-01-15T12:13:00.000000000Z,LONG,1.5,harvester,1.5,-1.5,1.0,-1.0,TP_HIT,PANIC
T0078,LONG_1.5_004,2024-01-15T12:16:00.000000000Z,2024-01-15T12:16:00.000000000Z,LONG,1.5,harvester,1.5,-1.5,1.0,-1.0,TP_HIT,PANIC
T0079,LONG_1.5_004,2024-01-15T12:19:00.000000000Z,2024-01-15T12:19:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0080,LONG_1.5_004,2024-01-15T12:22:00.000000000Z,2024-01-15T12:22:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0081,LONG_1.5_004,2024-01-15T12:25:00.000000000Z,2024-01-15T12:25:00.000000000Z,LONG,1.5,harvester,1.5,-1.5,1.0,-1.0,TP_HIT,PANIC
T0082,LONG_1.5_004,2024-01-15T12:28:00.000000000Z,2024-01-15T12:28:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0083,LONG_1.5_004,2024-01-15T12:31:00.000000000Z,2024-01-15T12:31:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0084,LONG_1.5_004,2024-01-15T12:34:00.000000000Z,2024-01-15T12:34:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0085,LONG_1.5_004,2024-01-15T12:37:00.000000000Z,2024-01-15T12:37:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0086,LONG_1.5_004,2024-01-15T12:40:00.000000000Z,2024-01-15T12:40:00.000000000Z,LONG,1.5,harvester,1.5,-1.5,1.0,-1.0,TP_HIT,PANIC
T0087,LONG_1.5_004,2024-01-15T12:43:00.000000000Z,2024-01-15T12:43:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0088,LONG_1.5_004,2024-01-15T12:46:00.000000000Z,2024-01-15T12:46:00.000000000Z,LONG,1.5,harvester,1.5,-1.5,1.0,-1.0,TP_HIT,PANIC
T0089,LONG_1.5_004,2024-01-15T12:49:00.000000000Z,2024-01-15T12:49:00.000000000Z,LONG,1.5,harvester,1.5,-1.5,1.0,-1.0,TP_HIT,PANIC
T0090,LONG_1.5_004,2024-01-15T12:52:00.000000000Z,2024-01-15T12:52:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0091,LONG_1.5_005,2024-01-15T13:00:00.000000000Z,2024-01-15T13:00:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0092,LONG_1.5_005,2024-01-15T13:03:00.000000000Z,2024-01-15T13:03:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0093,LONG_1.5_005,2024-01-15T13:06:00.000000000Z,2024-01-15T13:06:00.000000000Z,LONG,1.5,harvester,-1.5,0.6000000000017103,-1.0,0.40000000000114017,SL_HIT,HARVEST
T0094,LONG_1.5_005,2024-01-15T13:09:00.000000000Z,2024-01-15T13:09:00.000000000Z,LONG,1.5,harvester,1.5,-1.5,1.0,-1.0,TP_HIT,PANIC
T0095,LONG_1.5_005,2024-01-15T13:12:00.000000000Z,2024-01-15T13:12:00.000000000Z,LONG,1.5,harvester,1.5,-1.5,1.0,-1.0,TP_HIT,PANIC
T0096,LONG_1.5_005,2024-01-15T13:15:00.000000000Z,2024-01-15T13:15:00.000000000Z,LONG,1.5,harvester,1.5,-1.5,1.0,-1.0,TP_HIT,PANIC
T0097,LONG_1.5_005,2024-01-15T13:18:00.000000000Z,2024-01-15T13:18:00.000000000Z,LONG,1.5,harvester,1.5,1.2999999999996348,1.0,0.8666666666664232,TP_HIT,HARVEST
T0098,LONG_1.5_005,2024-01-15T13:21:00.000000000Z,2024-01-15T13:21:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0099,LONG_1.5_005,2024-01-15T13:24:00.000000000Z,2024-01-15T13:24:00.000000000Z,LONG,1.5,harvester,1.5,-1.5,1.0,-1.0,TP_HIT,PANIC
T0100,LONG_1.5_005,2024-01-15T13:27:00.000000000Z,2024-01-15T13:27:00.000000000Z,LONG,1.5,harvester,-1.5,0.2999999999997449,-1.0,0.19999999999982995,SL_HIT,HARVEST
T0101,LONG_1.5_005,2024-01-15T13:30:00.000000000Z,2024-01-15T13:30:00.000000000Z,LONG,1.5,harvester,1.5,-1.5,1.0,-1.0,TP_HIT,PANIC
T0102,LONG_1.5_005,2024-01-15T13:33:00.000000000Z,2024-01-15T13:33:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0103,LONG_1.5_005,2024-01-15T13:36:00.000000000Z,2024-01-15T13:36:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0104,LONG_1.5_005,2024-01-15T13:39:00.000000000Z,2024-01-15T13:39:00.000000000Z,LONG,1.5,harvester,1.5,-1.5,1.0,-1.0,TP_HIT,PANIC
T0105,LONG_1.5_005,2024-01-15T13:42:00.000000000Z,2024-01-15T13:42:00.000000000Z,LONG,1.5,harvester,1.5,-1.5,1.0,-1.0,TP_HIT,PANIC
T0106,LONG_1.5_005,2024-01-15T13:45:00.000000000Z,2024-01-15T13:45:00.000000000Z,LONG,1.5,harvester,1.5,-1.5,1.0,-1.0,TP_HIT,PANIC
T0107,LONG_1.5_005,2024-01-15T13:49:00.000000000Z,2024-01-15T13:49:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0108,LONG_1.5_005,2024-01-15T13:52:00.000000000Z,2024-01-15T13:52:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0109,LONG_1.5_005,2024-01-15T13:55:00.000000000Z,2024-01-15T13:55:00.000000000Z,LONG,1.5,harvester,1.5,-1.5,1.0,-1.0,TP_HIT,PANIC
T0110,LONG_1.5_005,2024-01-15T13:58:00.000000000Z,2024-01-15T13:58:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0111,LONG_1.5_005,2024-01-15T14:01:00.000000000Z,2024-01-15T14:01:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0112,LONG_1.5_005,2024-01-15T14:04:00.000000000Z,2024-01-15T14:04:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0113,LONG_1.5_005,2024-01-15T14:07:00.000000000Z,2024-01-15T14:07:00.000000000Z,LONG,1.5,harvester,-1.5,1.40000000000029,-1.0,0.9333333333335266,SL_HIT,HOLD
T0114,LONG_1.5_005,2024-01-15T14:10:00.000000000Z,2024-01-15T14:10:00.000000000Z,LONG,1.5,harvester,1.5,6.500000000000394,1.0,4.333333333333596,TP_HIT,HOLD
T0115,LONG_1.5_005,2024-01-15T14:13:00.000000000Z,2024-01-15T14:13:00.000000000Z,LONG,1.5,harvester,-1.5,7.899999999998464,-1.0,5.2666666666656425,SL_HIT,HOLD
T0116,LONG_1.5_005,2024-01-15T14:16:00.000000000Z,2024-01-15T14:16:00.000000000Z,LONG,1.5,harvester,-1.5,8.099999999999774,-1.0,5.399999999999849,SL_HIT,HOLD
T0117,LONG_1.5_005,2024-01-15T14:19:00.000000000Z,2024-01-15T14:19:00.000000000Z,LONG,1.5,harvester,1.5,10.40000000000152,1.0,6.933333333334346,TP_HIT,HOLD
T0118,LONG_1.5_005,2024-01-15T14:22:00.000000000Z,2024-01-15T14:22:00.000000000Z,LONG,1.5,harvester,1.5,9.600000000000719,1.0,6.400000000000479,TP_HIT,HOLD
T0119,LONG_1.5_005,2024-01-15T14:25:00.000000000Z,2024-01-15T14:25:00.000000000Z,LONG,1.5,harvester,1.5,7.600000000000939,1.0,5.066666666667293,TP_HIT,HOLD
T0120,LONG_1.5_005,2024-01-15T14:28:00.000000000Z,2024-01-15T14:28:00.000000000Z,LONG,1.5,harvester,1.5,7.099999999999884,1.0,4.733333333333256,TP_HIT,HOLD
T0121,LONG_1.5_005,2024-01-15T14:31:00.000000000Z,2024-01-15T14:31:00.000000000Z,LONG,1.5,harvester,-1.5,6.200000000000649,-1.0,4.133333333333766,SL_HIT,HOLD
T0122,LONG_1.5_005,2024-01-15T14:34:00.000000000Z,2024-01-15T14:34:00.000000000Z,LONG,1.5,harvester,1.5,6.700000000001705,1.0,4.466666666667803,TP_HIT,HOLD
T0123,LONG_1.5_005,2024-01-15T14:37:00.000000000Z,2024-01-15T14:37:00.000000000Z,LONG,1.5,harvester,1.5,0.1999999999990898,1.0,0.13333333333272654,TP_HIT,HARVEST
T0124,LONG_1.5_005,2024-01-15T14:40:00.000000000Z,2024-01-15T14:40:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0125,LONG_1.5_005,2024-01-15T14:43:00.000000000Z,2024-01-15T14:43:00.000000000Z,LONG,1.5,harvester,-1.5,6.900000000000794,-1.0,4.60000000000053,SL_HIT,HOLD
T0126,LONG_1.5_005,2024-01-15T14:46:00.000000000Z,2024-01-15T14:46:00.000000000Z,LONG,1.5,harvester,1.5,7.800000000000029,1.0,5.20000000000002,TP_HIT,HOLD
T0127,LONG_1.5_005,2024-01-15T14:50:00.000000000Z,2024-01-15T14:50:00.000000000Z,LONG,1.5,harvester,1.5,11.000000000001009,1.0,7.333333333334006,TP_HIT,HOLD
T0128,LONG_1.5_005,2024-01-15T14:53:00.000000000Z,2024-01-15T14:53:00.000000000Z,LONG,1.5,harvester,1.5,0.1999999999990898,1.0,0.13333333333272654,TP_HIT,HARVEST
T0129,LONG_1.5_005,2024-01-15T14:56:00.000000000Z,2024-01-15T14:56:00.000000000Z,LONG,1.5,harvester,1.5,7.099999999999884,1.0,4.733333333333256,TP_HIT,HOLD
T0130,LONG_1.5_005,2024-01-15T14:59:00.000000000Z,2024-01-15T14:59:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0131,LONG_1.5_005,2024-01-15T15:02:00.000000000Z,2024-01-15T15:02:00.000000000Z,LONG,1.5,harvester,1.5,6.500000000000394,1.0,4.333333333333596,TP_HIT,HOLD
T0132,LONG_1.5_005,2024-01-15T15:05:00.000000000Z,2024-01-15T15:05:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0133,LONG_1.5_005,2024-01-15T15:08:00.000000000Z,2024-01-15T15:08:00.000000000Z,LONG,1.5,harvester,-1.5,-1.5,-1.0,-1.0,SL_HIT,PANIC
T0134,LONG_1.5_005,2024-01-15T15:11:00.000000000Z,2024-01-15T15:11:00.000000000Z,LONG,1.5,harvester,-1.5,7.200000000000539,-1.0,4.8000000000003595,SL_HIT,HOLD
T0135,LONG_1.5_005,2024-01-15T15:14:00.000000000Z,2024-01-15T15:14:00.000000000Z,LONG,1.5,harvester,1.5,7.200000000000539,1.0,4.8000000000003595,TP_HIT,HOLD
T0136,LONG_1.5_005,2024-01-15T15:17:00.000000000Z,2024-01-15T15:17:00.000000000Z,LONG,1.5,harvester,1.5,5.700000000001815,1.0,3.80000000000121,TP_HIT,HOLD
T0137,LONG_1.5_005,2024-01-15T15:20:00.000000000Z,2024-01-15T15:20:00.000000000Z,LONG,1.5,harvester,1.5,6.500000000000394,1.0,4.333333333333596,TP_HIT,HOLD
T0138,LONG_1.5_005,2024-01-15T15:23:00.000000000Z,2024-01-15T15:23:00.000000000Z,LONG,1.5,harvester,1.5,6.00000000000156,1.0,4.00000000000104,TP_HIT,HOLD
T0139,LONG_1.5_005,2024-01-15T15:26:00.000000000Z,2024-01-15T15:26:00.000000000Z,LONG,1.5,harvester,-1.5,0.8000000000008001,-1.0,0.5333333333338667,SL_HIT,HOLD
T0140,LONG_1.5_005,2024-01-15T15:29:00.000000000Z,2024-01-15T15:29:00.000000000Z,LONG,1.5,harvester,-1.5,2.100000000000435,-1.0,1.40000000000029,SL_HIT,HOLD
T0141,LONG_1.5_005,2024-01-15T15:32:00.000000000Z,2024-01-15T15:32:00.000000000Z,LONG,1.5,harvester,-1.5,5.20000000000076,-1.0,3.466666666667173,SL_HIT,HOLD
